label,name,x,y,z
128,Thal_VL_R,12.82,-10.97,7.47
129,Thal_VPL_L,-17.9,-21.29,6.44
130,Thal_VPL_R,17.12,-20.44,5.46
131,Thal_IL_L,-10.84,-19.88,0.7
132,Thal_IL_R,10.45,-18.96,-0.32
135,Thal_MDm_L,-4.57,-16.45,5.47
136,Thal_MDm_R,3.98,-15.41,4.75
137,Thal_MDl_L,-8.01,-15.21,7.24
138,Thal_MDl_R,7.94,-14.93,6.98
139,Thal_LGN_L,-22.84,-23.76,-5.11
140,Thal_LGN_R,21.97,-24.13,-4.21
141,Thal_MGN_L,-15.61,-24.82,-4.51
142,Thal_MGN_R,15.27,-24.36,-4.68
143,Thal_PuI_L,-17.46,-29.81,0.7
144,Thal_PuI_R,17.08,-28.95,0.69
145,Thal_PuM_L,-13.17,-28.62,7.04
146,Thal_PuM_R,11.99,-27.24,7.31
147,Thal_PuA_L,-12.45,-23.03,7.71
148,Thal_PuA_R,11.56,-21.94,7.41
149,Thal_PuL_L,-18.44,-25.14,12.07
150,Thal_PuL_R,16.13,-22.96,12.81
151,ACC_sub_L,-4.14,31.43,-5.54
152,ACC_sub_R,5.28,32.14,-4.41
153,ACC_pre_L,-4.86,43.55,7.33
154,ACC_pre_R,8.74,43.18,12.72
155,ACC_sup_L,-3.75,25.11,23.2
156,ACC_sup_R,7.91,27.75,21.1
157,N_Acc_L,-7.86,12.48,-7.61
158,N_Acc_R,9.97,12.37,-7.56
159,VTA_L,-2.98,-20.01,-17.01
161,SN_pc_L,-8.02,-19.17,-14.61
162,SN_pc_R,9.12,-17.95,-14.34
163,SN_pr_L,-8.13,-12.2,-13.96
164,SN_pr_R,11.11,-12.83,-13.04
165,Red_N_L,-4.26,-19.93,-10.56
166,Red_N_R,5.91,-19.48,-10.61
169,Raphe_D,0.82,-27.0,-10.39
